,address,lat,lon
80,"125 HOSPITAL DR, PO DRAWER 9 SPRUCE PINE NC",35.910751,-82.06295899999999
81,384 SE COMBS FLAT ROAD PRINEVILLE OR,44.297864,-120.8254002
82,1700 S 23RD ST FORT PIERCE FL,27.4315046,-80.34540729999999
83,411 MAIN STREET COLUMBIA LA,32.1051567,-92.0779129
84,975 S FAIRMONT AVENUE LODI CA,38.1214679,-121.2869098
85,130 DIVISION ST DERBY CT,41.3351303,-73.08904
86,610 TENTH STREET PERRY IA,41.833395,-94.09298679999999
87,1111 HAYES AVE SANDUSKY OH,41.4459948,-82.7101312
88,191 IOWA BOULEVARD TRENTON MO,40.0675961,-93.58182289999999
89,18300 HOUSTON METHODIST DR HOUSTON TX,29.549376,-95.0867124
90,1000 18TH STREET NW MANDAN ND,46.8418027,-100.907717
91,1851 NORTH GEMINI DRIVE FLAGSTAFF AZ,35.210043,-111.630553
92,303 NW 11TH STREET FAIRFIELD IL,38.3812333,-88.37522919999999
93,49 HILLSIDE STREET FALL RIVER MA,41.7075293,-71.1457956
94,600 N LEWIS AVE. NEW IBERIA LA,30.007175,-91.7950123
95,4777 E GALBRAITH ROAD CINCINNATI OH,39.2059813,-84.3810305
96,1501 MAPLE AVE RICHMOND VA,37.5852519,-77.5138952
97,501 CHIPETA WAY SALT LAKE CITY UT,40.7591075,-111.8236614
98,1240 E 9TH ST RENO NV,39.5376085,-119.7977101
99,231 SOUTH WILSON CASPER WY,42.8481211,-106.3064851
