,address,coordinates
74,"131 Commonwealth Dr Suite 240, Greenville, SC 29615, USA","34.85128582,-82.32254918"
75,"16750 Red Oak Dr, Houston, TX 77090, USA","30.01436876,-95.44076914"
76,"850 W Central Texas Exp*, Harker Heights, TX 76548, USA","31.07260368,-97.68292543"
77,"6500 Excelsior Blvd, St Louis Park, MN 55426, USA","44.92898519,-93.36223002"
78,"2018 Pulliam St, San Angelo, TX 76905, USA","31.4717117,-100.4024438"
79,"7600 Central Ave, Philadelphia, PA 19111, USA","40.07069916,-75.08783268"
80,"810 OK-2, Wilburton, OK 74578, USA","34.91947628,-95.32085573"
81,"1201 Broad Rock Blvd, Richmond, VA 23249, USA","37.49807429,-77.46768488"
82,"1002 S Main St, Shamrock, TX 79079, USA","35.1989674,-100.2481194"
83,"5980 Kyle Pkwy, Kyle, TX 78640, USA","30.00839095,-97.85628014"
84,"3500 Tower Ave, Superior, WI 54880, USA","46.69757315,-92.10263211"
85,"215 Chisholm Trail, Jacksboro, TX 76458, USA","33.23066769,-98.16693865"
86,"2000 Old Hickory Trail, DeSoto, TX 75115, USA","32.62823893,-96.86491473"
87,"403 Woodland Hls Blvd, Fort Scott, KS 66701, USA","37.80619303,-94.71096739"
88,"1612 S Henderson Blvd, Kilgore, TX 75662, USA","32.37353582,-94.86804406"
89,"901 Service Rd, Austin, TX 78745, USA","30.22593006,-97.77459614"
90,"923 S Church Ave, Louisville, MS 39339, USA","33.09800509,-89.06011088"
91,"111 W Spring St, West Haven, CT 06516, USA","41.28184028,-72.96120653"
92,"1755 Curie Dr, El Paso, TX 79902, USA","31.7804314,-106.4774909"
93,"3911 Ave. B Ste 1100, Scottsbluff, NE 69361, USA","41.88667985,-103.6647413"
94,"1800 12th St # 1C, Meridian, MS 39301, USA","32.36961231,-88.6972544"
95,"7245 Raider Rd, Bonne Terre, MO 63628, USA","37.91222583,-90.53293006"
96,"206 Bay Ave, Richton, MS 39476, USA","31.34633998,-88.93772537"
97,"1001 N Cooper St, Arlington, TX 76011, USA","32.75085193,-97.11322999"
98,"3955 156th St NE, Marysville, WA 98271, USA","48.13860418,-122.1795895"
99,"220 Faison Dr, Columbia, SC 29203, USA","34.08586316,-80.9828722"
